2026-01-18 02:24:26,790 | INFO  | MainThread | solace_agent_mesh.agent.adk.services | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Wrapping artifact service with dynamic ScopedArtifactServiceWrapper.
2026-01-18 02:24:26,798 | INFO  | MainThread | solace_agent_mesh.agent.adk.services | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Initializing Memory Service of type: memory
2026-01-18 02:24:26,799 | INFO  | MainThread | solace_agent_mesh.agent.adk.services | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  No credential service configured, skipping initialization
2026-01-18 02:24:26,799 | INFO  | MainThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Initialized Synchronous ADK services.
2026-01-18 02:24:26,800 | INFO  | MainThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Scheduling agent health check every 10 seconds.
2026-01-18 02:24:26,800 | INFO  | MainThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Initialized agent: OrchestratorAgent
2026-01-18 02:24:26,800 | INFO  | MainThread | solace_ai_connector.components.component_base | [orchestrator-agent_app_broker_output] [solace_ai_connector.orchestrator-agent_app_implicit_flow.orchestrator-agent_app_broker_output]  Multi-session request/response is enabled.
2026-01-18 02:24:26,800 | INFO  | MainThread | solace_ai_connector.components.component_base | [orchestrator-agent_app_broker_output] [solace_ai_connector.orchestrator-agent_app_implicit_flow.orchestrator-agent_app_broker_output]  Using parent app's broker configuration as default for multi-session request/response.
2026-01-18 02:24:26,800 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[orchestrator-agent_app_broker_output]: reconnection_strategy not provided, using default value of forever_retry
2026-01-18 02:24:26,800 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[orchestrator-agent_app_broker_output]: retry_interval not provided, using default value of 3000 milliseconds
2026-01-18 02:24:26,811 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[orchestrator-agent_app_broker_output]: Connecting to broker at tcp://localhost:55555.
2026-01-18 02:24:26,821 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[orchestrator-agent_app_broker_output]: Successfully connected to broker at tcp://localhost:55555.
2026-01-18 02:24:26,821 | INFO  | MainThread | solace_ai_connector.solace_ai_connector | Creating app VitalsSpecialist__app
2026-01-18 02:24:26,821 | INFO  | MainThread | solace_agent_mesh.agent.sac.app | Configuring A2A_ADK_App for Agent: 'VitalsSpecialist' in Namespace: 'default_namespace/'
2026-01-18 02:24:26,821 | INFO  | MainThread | solace_agent_mesh.agent.sac.app | Automatically generated subscriptions for Agent 'VitalsSpecialist': [{'topic': 'default_namespace/a2a/v1/agent/request/VitalsSpecialist'}, {'topic': 'default_namespace/a2a/v1/discovery/>'}, {'topic': 'default_namespace/a2a/v1/agent/response/VitalsSpecialist/>'}, {'topic': 'default_namespace/a2a/v1/agent/status/VitalsSpecialist/>'}, {'topic': 'default_namespace/sam/events/session/>'}]
2026-01-18 02:24:26,821 | INFO  | MainThread | solace_ai_connector.components.component_base | [VitalsSpecialist__app_broker_input] [solace_ai_connector.VitalsSpecialist__app_implicit_flow.VitalsSpecialist__app_broker_input]  Multi-session request/response is enabled.
2026-01-18 02:24:26,821 | INFO  | MainThread | solace_ai_connector.components.component_base | [VitalsSpecialist__app_broker_input] [solace_ai_connector.VitalsSpecialist__app_implicit_flow.VitalsSpecialist__app_broker_input]  Using parent app's broker configuration as default for multi-session request/response.
2026-01-18 02:24:26,821 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[VitalsSpecialist__app_broker_input]: reconnection_strategy not provided, using default value of forever_retry
2026-01-18 02:24:26,821 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[VitalsSpecialist__app_broker_input]: retry_interval not provided, using default value of 3000 milliseconds
2026-01-18 02:24:26,831 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[VitalsSpecialist__app_broker_input]: Connecting to broker at tcp://localhost:55555.
2026-01-18 02:24:26,842 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[VitalsSpecialist__app_broker_input]: Successfully connected to broker at tcp://localhost:55555.
2026-01-18 02:24:26,899 | INFO  | MainThread | solace_ai_connector.components.component_base | [<unnamed>] [solace_ai_connector.VitalsSpecialist__app_implicit_flow.<unnamed>]  Multi-session request/response is enabled.
